S1 EP01 IN
S1 EP01：こっちだ　早く　|　在这边 快点
S1 EP05：あの燻べのヴィケオンを倒すって　|　去讨伐那个熏灼维凯翁
S1 EP05：ヴィケオン？　|　维凯翁？
S1 EP05：伝承の時代からの黒竜だよ　|　是传说时代就存在的黑龙
S1 EP05：我が名はヴィケオン　恐れよ　|　吾名维凯翁 畏惧吧
S1 EP05：竜退治ごっこなら　おじさんが燻べのヴィケオンじゃないか　|　玩屠龙游戏的话应该是大叔来演熏灼维凯翁吧
S1 EP05：じゃあ　俺は？　|　那我是？
S1 EP05：絶対なるロスクレイだ　|　绝对的罗斯克莱
S1 EP05：いくぞ　|　要上了
S1 EP05：負けないぞ　|　我不会输的
S1 EP05：やるな　|　挺厉害嘛
S1 EP05：変わらないな　クゼ先生　|　真是一点没变啊 库瑟老师
S1 EP05：昔からああだったの　|　以前也是这样吗
S1 EP05：ええ　のらりくらりしてて　|　是啊 一副游手好闲的样子
S1 EP05：威厳なんか全然なくて　|　一点威严都没有
S1 EP05：教団のいろんなことを抱え込んでるのに　|　明明背负着教团的许多事情
S1 EP05：いつも笑ってて　|　还总是笑着
S1 EP05：天使か…　|　天使吗…
S1 EP05：部屋に入れる経路は廊下だけ　|　要进房间就必须经过走廊
S1 EP05：俺はこの長椅子で休むから　|　我在这张长椅上休息
S1 EP05：相変わらず紳士だね　|　你还是这么绅士
S1 EP05：同じ部屋で寝てくれたってかまわないんだよ　|　我不介意和你睡一个房间哦
S1 EP05：おじさんをからかっちゃいけないよ　|　别拿大叔开玩笑啦
S1 EP05：安心して寝てな　|　安心睡吧
S1 EP05：みんな元気そうでよかった　|　大家都很有精神真是太好了
S1 EP05：４年くらい前かな　|　大概是四年前吧
S1 EP05：ここで暮らしていたことがあってさ　|　我曾在这生活过一段时间
S1 EP05：窓の立てつけの悪さとか　|　窗户关不严之类的
S1 EP05：全然変わってないんだよ　|　真是一点没变
S1 EP05：リペルちゃん？　|　利佩尔？
S1 EP05：クゼ先生　|　库瑟老师
S1 EP05：リチアに協力してもらえませんか　|　能请你协助利奇亚吗
S1 EP05：第六将の部隊がやってきたあと　|　第六将的部队来了之后
S1 EP05：リチアの人たちが調査に来たんです　|　利奇亚的人来调查了
S1 EP05：リチアに協力するなら　この教会にも支援をしてくれるって　|　如果能协助利奇亚 他们也会支持这个教会
S1 EP05：私は戦えないけど　クゼ先生なら…　|　虽然我不能战斗 但如果是库瑟老师…
S1 EP05：クゼ先生はとても強いから　|　因为库瑟老师很强
S1 EP05：そっか　|　这样啊
S1 EP05：やっぱりつらい思いをさせちゃったんだな　|　果然还是让你受委屈了啊
S1 EP05：クゼ先生　|　库瑟老师
S1 EP05：でもごめんな　リペルちゃん　|　但是对不起 利佩尔
S1 EP05：君の助けにはなれない　|　我帮不了你
S1 EP05：俺の救い方じゃ　ダメなんだ　|　用我的救赎方法 是行不通的
S1 EP05：悪いね　ホント　|　真的很抱歉
S1 EP05：待って　この人は殺さないで　|　等等 请别杀这个人
S1 EP05：射線の邪魔だ　|　别挡着弹道
S1 EP05：その男は黄都とつながっているぞ　|　这个男人和黄都有关系
S1 EP05：第六将とやらが余計な動きをしたせいか　|　是因为那个第六将做了多余的举动吗
S1 EP05：ひどい世の中だよ　まったくさ　|　真是世间险恶啊
S1 EP05：商人どもの身分も偽装だな　|　那些商人的身份也是伪装吧
S1 EP05：通り禍のクゼ　|　擦身之祸库瑟
S1 EP05：受けがうまいぞ　|　格挡很熟练啊
S1 EP05：生け捕りは諦めよう　|　放弃活捉吧
S1 EP05：了解　|　明白
S1 EP05：頼む　殺さないでくれよ　|　拜托 别杀我啊
S1 EP05：もらった　|　拿下了
S1 EP05：だから　殺さないでくれって言ったんだ　|　所以我说别杀我啊
S1 EP05：毒か　|　是毒吗
S1 EP05：暗器かもしれん　|　可能是暗器
S1 EP05：距離を取って射撃だ　|　保持距离射击
S1 EP05：こいつ　なんだ　|　这家伙 怎么回事
S1 EP05：習ったことはなかったか　|　你没学过吗
S1 EP05：小さな頃に教会で授業を受けたことは　|　小时候有没有在教会里听过课
S1 EP05：悪いことをすると　天使様の罰を受けるってさ　|　做坏事会受到天使的惩罚
S1 EP05：危ないところだったね　|　真是危险啊
S1 EP05：ありがとう　ニヒロ　|　谢谢 霓悉洛
S1 EP05：ごめんなさい　クゼ先生　|　对不起 库瑟老师
S1 EP05：殺そうなんて　私は…　|　我没想到会杀你…
S1 EP05：分かってる　|　我知道
S1 EP05：リペルちゃんは何も悪くないさ　|　利佩尔没做错什么
S1 EP05：ごめん…ごめんなさい　|　对不起…对不起
S1 EP05：リペルちゃん　おなか見せてくれるか　|　利佩尔 能让我看看你的肚子吗
S1 EP05：腎臓を貫通してるね　|　穿透肾脏了啊
S1 EP05：みんなが幸せになれたら　|　只要大家都能幸福的话
S1 EP05：私もクゼ先生みたいに…　|　我也想像库瑟老师一样…
S1 EP05：リペルちゃん　ごめん　|　利佩尔 对不起
S1 EP05：俺こそ　ごめんよ　|　我才应该说对不起
S1 EP05：ニヒロは一度　死んだことがあるよな　|　霓悉洛你曾经死过一次吧
S1 EP05：死んだ時に天使を見たか　|　你死的时候看见天使了吗
S1 EP05：天使なんて　誰かの勝手な想像だと思うよ　|　我觉得天使什么的只是某人的妄想吧
S1 EP05：まあ　俺も実はそう思ってる　|　其实我也是这么想的
S1 EP05：だけど　天使はいるんだ　|　但是 天使是存在的
S1 EP05：天使もさ　寂しがってるんだと思うよ　|　我想天使 也觉得寂寞吧
S1 EP05：クゼはずっと　|　库瑟你一直
S1 EP05：天使を見ていたのかい　|　看着天使吗
S1 EP05：どうだろうな　|　不知道
S1 EP05：それでも天使様のほうは俺を見てるんだ　|　但天使大人还是一直在看着我
S1 EP05：だから俺を殺そうとする者を殺す　|　所以杀了那些想杀我的人
S1 EP05：名前はあるの　|　有名字吗
S1 EP05：名前？　|　名字？
S1 EP05：天使の名前だよ　|　天使的名字
S1 EP05：そっか　誰にも教えたことはなかったな　|　对啊 我从来没告诉过别人
S1 EP05：リペルちゃんにも…　|　就连利佩尔也…
S1 EP05：知ってるよ　名前は…　|　我知道 名字是…
S1 EP05：それはただ１人を除いた　この世の誰にも知覚されることはない　|　她在这个世界上除了一人之外无人能够察觉
S1 EP05：それは非実在の意識体であり　いかなる手段でも干渉されることはない　|　她是非真实存在的意识体 任何手段都无法干扰
S1 EP05：それは創世のその時から続く　生命停止の絶対の権能を保有している　|　她诞生于创世之时 拥有令生命停止的绝对权能
S1 EP05：ただ静かに訪れ　目に見えぬまますべてを奪っていく　|　她只是静静地来访 在无形中夺走一切
S1 EP05：死の運命の具現である　|　是死亡命运的化身
S1 EP05：天使の名前は…　|　天使的名字是…
S1 EP05：暗殺者　天使　静かに歌うナスティーク　|　暗杀者 天使 静歌娜斯缇库
S1 EP05：#利奇亚中央城塞
S1 EP05：#根兽 在森林等地栖息的植物智慧体。拥有微量即可溶解神经细胞并迅速致死的剧毒。
S1 EP05：#莱希山间村落
S1 EP05：#人类 擦身之祸库瑟
S1 EP05：#人类 霜叶利佩尔
S1 EP05 OUT

S1 EP06 IN
S1 EP06：本物の魔王が死んだ　|　真正的魔王已经死了
S1 EP06：地平のすべてを恐怖させた世界の敵を　何者かが倒した　|　使大地上所有生灵恐惧的敌人 被某人打倒了
S1 EP06：その１人の勇者はいまだ　その名も実在も知れぬままである　|　至今 人们也无法确定那位勇者的姓名与存在
S1 EP06：恐怖の時代が終息した今　その１人を決める必要があった　|　在恐惧时代结束后的现在 必须决出这位勇者
S1 EP06：メイジ市はリチア新公国に最も近い衛星都市であり　|　梅吉市是离利奇亚新公国最近的一座卫星都市
S1 EP06：リチアの動向を監視する　黄都側の出城としての役割を担っていた　|　作为黄都侧的哨所 负责监视利奇亚动向
S1 EP06：くだんの客は来てるか　|　我们的宾客来了吗
S1 EP06：はい　今朝方　到着したようでして　|　来了 今天早上到的
S1 EP06：俺のほうが遅刻か　|　我迟到了吗
S1 EP06：まあ　そもそも「客人」どもは　礼儀なんざ気にしないか　|　不过也行 「客人」都不在乎礼节的
S1 EP06：悪いな　|　抱歉
S1 EP06：こちらから呼びつけておいて遅れた　|　叫你们来 自己却迟到了
S1 EP06：第二十卿　鎹のヒドウだ　|　我是第二十卿 锔钉西多勿
S1 EP06：遠い鉤爪のユノといいます　|　我叫作远方钩爪悠诺
S1 EP06：ナガンの…　|　纳甘…
S1 EP06：その…滅んだナガンで　学士見習いをしておりました　|　那个…我在毁灭的纳甘里曾是一名见习学者
S1 EP06：この度は私どもの話を聞いていただき…　|　感谢您能听我们说…
S1 EP06：前置きはいいって　|　跳过开场白吧
S1 EP06：新しい客人が出たんなら　黄都にとっても無視できない話だ　|　新的客人出现了 黄都也不能不管
S1 EP06：よく知らせてくれた　|　谢谢你告知我们
S1 EP06：いえ　|　不会
S1 EP06：めっそうもございません　|　这是应该做的
S1 EP06：それで…だ　|　那么…
S1 EP06：そっちが柳の剣だな　|　这位就是柳之剑吧
S1 EP06：そういうの付けなきゃダメか　|　一定要带上这个称呼吗
S1 EP06：俺はソウジロウだ　|　我是宗次朗
S1 EP06：悪くない二つ目の名じゃないか　|　这别称挺不错的
S1 EP06：それで早速なんだが　|　那就讲正事了
S1 EP06：敵は黄都の元二十三将　警めのタレンだ　|　敌人是原黄都第二十三将 警戒塔莲
S1 EP06：鳥竜の軍をそろえて　魔具と傭兵をかき集めてやがる　|　她拥有鸟龙军 还在搜集魔具和佣兵
S1 EP06：新公国と黄都が戦争状態になるより早く決着をつけたい　|　我想在新公国与黄都进入战争状态之前决出胜负
S1 EP06：それをお前らにやってもらう　|　而这件事我打算交给你们去做
S1 EP06：勇者を決める試合ってのはまだかよ　|　决出勇者的比赛还没开始吗
S1 EP06：まだ先だ　|　这是后话了
S1 EP06：何分　世界最大の一大行事だ　|　毕竟 那是世上头等大事
S1 EP06：当然　出るには相応の箔が要る　|　自然 需要足够的名声才能出场
