EP01 IN
EP01：フリーダ　|　弗里达
EP04：ほら　ウルにいないいないばあしろ　|　快来 给乌尔表演一个突然出现
EP04：いや　|　不要
EP04：何がそんなに嫌なんだ　|　为什么那么不情愿
EP04：お前はウルのお兄ちゃんだろ　|　你是乌尔的哥哥吧
EP04：ほら　ウル　お兄ちゃんが今からいないいないばあするからな　|　看 乌尔 哥哥现在给你表演突然出现
EP04：さあ　ラファエロ　|　来 拉斐尔
EP04：いや　|　不要
EP04：おい　ラファエロ　ウルに謝れ　|　喂 拉斐尔 向乌尔道歉
EP04：いやだ　謝らない　|　不要 我不道歉
EP04：お前がウルを泣かせたんだぞ　|　是你把乌尔弄哭的
EP04：ほら謝れ　|　快道歉
EP04：謝りたくない　|　我不想道歉
EP04：いい加減にしろ　|　给我适可而止
EP04：ウル何か死んじゃえばいいだ　|　乌尔死了就好了
EP04：何の騒ぎだ　ダリ　|　发生什么了 达利
EP04：赤ちゃん帰り？　|　婴儿退行？
EP04：ある程度成長した幼児が　突然赤ちゃんのように振る舞うことを　そう呼ぶそうだ　|　是指成长到一定程度的幼儿 突然做出婴儿一样的行为
EP04：何が原因だ　|　原因是什么
EP04：多く見られる原因は弟や妹ができた時　|　大多数原因是有了弟弟妹妹
EP04：何　|　什么
EP04：ではウルが原因でラファエロがああなったと？　|　就是说因为乌尔 拉斐尔才变成那样？
EP04：まあ　ありうるよね　|　嗯 有可能吧
EP04：うちの子の「イヤイヤ期」は２歳くらいだったけど　|　我家孩子的「不要不要期」大概是两岁左右
EP04：遅れてやってきた「イヤイヤ期」というわけか　|　也就是迟来的「不要不要期」吗
EP04：「イヤイヤ期」とは何だ　|　「不要不要期」是什么
EP04：「イヤイヤ期」とは　自我の形成段階における意思の選択　|　「不要不要期」是指在自我形成时的想法表达
EP04：まだ言語が覚束無いゆえに　全てに「イヤ」と答える　|　由于语言还不熟练 全都回答「不要」
EP04：第一次反抗期と呼ばれる事象だ　|　这种现象被称为第一反抗期
EP04：詳しいじゃん　|　你很懂嘛
EP04：当然だ　|　当然了
EP04：各地からありとあらゆる関連書籍を取り寄せて調べ上げたんだ　|　我曾经查阅过各个地方的所有关联书籍
EP04：俺はどうすればいい　|　我该怎么做
EP04：受け止めるしかないだろう　|　只能接受现实吧
EP04：声を荒らげて手を上げるなどもってのほか　|　绝对不能斥责或者动手
EP04：ラファエロは生まれた時からおとなしい子供だった　|　拉斐尔从出生起就很安分
EP04：今まで手を煩わせたことはない　|　从来没有让人操心
EP04：俺の言うこともよく聞いていた　|　我说的他都会乖乖照做
EP04：いや　甘えていたのは俺の方か　|　或许我才是那个被宠坏的
EP04：ほらどうした　|　怎么了
EP04：もっと踊れよ　|　继续跳啊
EP04：俺たちを楽しませろ　|　多给我们找点乐子
EP04：何よそのタコ踊り　おかしい　|　什么章鱼舞啊 太好笑了
EP04：キキちゃん　悪いわよ　そんなに笑っちゃ　|　小琪琪 那样笑很失礼哦
EP04：もう勘弁してくれ　|　饶了我吧
EP04：分かった　じゃあ死ねよ　|　好 那就去死吧
EP04：お前が自分で自分の首を締めて死ぬところが見たい　|　我想看你自己把自己掐死
EP04：そら　さっさとぶっ壊れろよ　|　快点啊 把自己弄死
EP04：いい加減にしろ　|　差不多行了
EP04：こいつにはまだ利用価値がある　|　这家伙还有利用价值
EP04：死ぬのはやめだ　|　别死了
EP04：最初からTRUMPのこともイニシアチブで聞き出せたらいいんだけどね　|　要是能事先利用主动权问出TRUMP的事就好了
EP04：それができるんなら　こんな回りくどいことしてないでしょ　|　要是能行 也不用像现在这样兜圈子了
EP04：お前が知っているTRUMPの情報を全て教えろ　|　把你知道的TRUMP的情报全部说出来
EP04：誰が言うものか　|　我才不说
EP04：いくら脅されようとも　家族を人質に取られようと　|　无论如何威胁 甚至拿家人做人质
EP04：私がTRUMPについて話すことはない　|　我都不会说出有关TRUMP的事
EP04：本当めんどくさい　|　真是麻烦
EP04：これ「アンチイニシアチブ」ってやつでしょ　|　这是「反主动权」吧
EP04：TRUMPの情報を全ての漏洩を防ぐためか　|　应该是为了彻底防止TRUMP的情报泄露
EP04：こいつだけじゃね　|　不止是他
EP04：おそらくはヴラド機関に所属している者全員が　|　恐怕弗拉德机关所属全员都这样
EP04：そんなこと　一体誰が　|　这到底是谁干的
EP04：ヨハネス・ヴラド　|　约翰尼斯·弗拉德
EP04：古代より続く名門一族の当主だ　|　从古至今的名门家族的当家
EP04：代々ヴラド機関の長官を世襲で務めている　|　每一代都以世袭的方式担任弗拉德机关长官
EP04：このイニシアチブは奴の仕業だろう　|　这个主动权估计就是他的杰作
EP04：機関に所属する者が受ける通過儀礼　|　机关所属之人需要接受的礼仪
EP04：つまりイニシエーションってところね　|　也就是加入仪式
EP04：でも　他人を噛んでイニシアチブを取るのって禁止されてんでしょ　|　但是 咬别人获取主动权不是被禁止的吗
EP04：それだけTRUMPに関する情報は門外不出ということだ　|　这更表明与TRUMP相关的情报绝不外传
EP04：こちらの目的を察知させれば　奴らがTRUMPの保護に動きだし　|　本来以为目的被察觉 他们就会采取行动保护TRUMP
EP04：その居場所を突き止めることもできると思ったが　|　这样就能找出他的所在之处
EP04：何　まだ計画は始まったばかりだ　|　没关系 计划才刚刚开始
EP04：イニシアチブの傀儡よ　あんたにはもう一働きしてもらうぜ　|　主动权的傀儡 还有一件事要你去做
EP04：旦那様　|　老爷
EP04：クララ　|　克拉拉
EP04：よくお眠りになっているようですね　|　看来他睡得很香
EP04：ラファエロ坊様のこと　お聞きしました　|　拉斐尔少爷的事 我听说了
EP04：そうか　|　是吗
EP04：確か　お前のところにも子がいたな　|　我记得你也有小孩吧
EP04：はい　男ばかり５人　|　是的 五个都是男孩
EP04：５人も育てあげるとは大したものだ　|　能带五个孩子真是厉害
EP04：こちらは２人で手いっぱいだというのに　|　我带两个就忙不过来了
EP04：１人だろうが10人だろうが　簡単な子育てなどありません　|　无论一个还是十个 带孩子都不简单
EP04：お前の育児はどうだった　|　你是怎么带孩子的
EP04：それは一生懸命に　|　拼尽了全力
EP04：あと　時には適当に　|　有时又比较松弛
EP04：時には適当にか　|　有时松弛吗
EP04：完璧な親なんてどこにもいませんから　|　世上没有完美的父母
EP04：このダリ・デリコにはできないことなどないと思っていた　|　我曾认为我达利·德里科无所不能
EP04：だが　今の俺には　ラファエロにどうしてやったらいいのかわからん　|　但我现在却不知道该对拉斐尔做些什么
EP04：わからないから考えるんです　|　不知道才要去思考
EP04：ああ　そうだな　|　嗯 是啊
EP04：名門デリコは貴族の中の貴族だ　|　名门德里科是贵族中的贵族
EP04：立派に育てあげる　貴族の誇りにかけてな　|　赌上贵族的自豪 我会把你们好好养大
EP04：旦那様　|　老爷
EP04：貴族が子を育てるのではありません　|　不是贵族养育孩子
EP04：親が子を育てるのです　|　是父母养育孩子
EP04：ああ　肝に銘じよう　|　嗯 我铭记在心
EP04：犯人はこの中にいる　|　犯人就在这之中
EP04：探偵さん　それはいったい誰なんですか　|　侦探小姐 请问到底是谁
EP04：私たちのケーキを勝手に食べた犯人はあなたよ　|　擅自吃掉我们蛋糕的犯人就是你
EP04：そんな　|　怎么会
EP04：ディーノさんがそんなことするなんて　|　迪诺先生居然做这种事
EP04：何を根拠に　|　凭什么说是我
EP04：私が犯人である証拠は　|　有证据吗
EP04：証拠もなく犯人と決めつけているのであれば　|　如果连证据都没有就认定犯人
EP04：深刻な名誉毀損に当たるが　|　将会严重损害别人的名誉
EP04：そこは「私がやりました」でしょ　|　你应该说「是我做的」
EP04：ねえ　パパ　|　爸爸
EP04：ディーノさんと遊んでもつまんない　|　和迪诺先生玩太无趣了
EP04：聞き捨てならんな　|　这我可不能当没听到
EP04：おいおい　ディーノ　|　喂喂 迪诺
EP04：もうちょっと合わせてやれよ　|　多配合一点嘛
EP04：君だってテオドールにおままごとくらい　|　你也陪西奥多玩过过家家吧
EP04：貴兄と一緒にしないでくれ　|　别把我跟你相提并论
EP04：我がクラシコ家では　|　在我克拉西科家
EP04：つかまり立ちをする頃からテオドールに次期当主としての英才教育を施してきたのだ　|　从西奥多学走路时就把他当下任当家实行英才教育了
